cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
19022	ENSMUSG00000024675	Ms4a4c	1.02e-10	9.5e-10	0.142	chr19	[11404798 11407768]	[11414792]	False	5' UTR	
13663	ENSMUSG00000053332	Gas5	3.19e-10	2.86e-09	0.317	chr1	[161036853 161037165]	[161037288]	True	Non-coding	
23436	ENSMUSG00000040940	Arhgef1	3.45e-10	2.98e-09	0.397	chr7	[24918001 24919352]	[24919631]	True	CDS	
3139	ENSMUSG00000015937	Macroh2a1	8.21e-09	6.81e-08	0.31	chr13	[56084286]	[56088252 56089758]	True	CDS	
25338	ENSMUSG00000032294	Pkm	2.63e-08	2.03e-07	0.128	chr9	[59675196 59675735]	[59678044]	True	CDS	
20506	ENSMUSG00000042747	Krtcap2	1.23e-07	8.92e-07	0.107	chr3	[89246516 89246594]	[89246778]	False	CDS	
24662	ENSMUSG00000055148	Klf2	1.29e-07	9.02e-07	0.092	chr8	[72319150 72320243]	[72320744]	False	CDS	
18827	ENSMUSG00000036908	Unc93b1	3.89e-07	2.64e-06	0.079	chr19	[3936423 3941682]	[3941885]	True	CDS	
13174	ENSMUSG00000037447	Arid5a	4.75e-07	3.13e-06	0.271	chr1	[36316328 36317663]	[36318084]	True	CDS	
17539	ENSMUSG00000022884	Eif4a2	8.07e-07	5.16e-06	0.286	chr16	[23111897 23112458 23112462]	[23113167]	False	CDS	
18127	ENSMUSG00000041881	Ndufa7	2.59e-06	1.57e-05	0.074	chr17	[33824681 33825651]	[33829667]	True	CDS	
21724	ENSMUSG00000029076	Sdf4	2.79e-06	1.64e-05	0.091	chr4	[155993335 155993570]	[155996189]	True	5' UTR	
5448	ENSMUSG00000063889	Crem	6.03e-06	3.46e-05	0.19	chr18	[3273579]	[3276694 3280949 3281688]	True	CDS	
12449	ENSMUSG00000062270	Morf4l1	8.11e-06	4.54e-05	0.07	chr9	[90102387]	[90103655 90107235]	True	CDS	
18051	ENSMUSG00000071172	Srsf3	1.16e-05	6.36e-05	0.192	chr17	[29038625 29039910]	[29040775]	True	CDS	
22474	ENSMUSG00000019054	Fis1	1.7e-05	8.86e-05	0.066	chr5	[136953591 136962229]	[136962999]	True	CDS	
15389	ENSMUSG00000020612	Prkar1a	1.94e-05	9.87e-05	0.123	chr11	[109650625 109651074]	[109653779]	True	5' UTR	
18840	ENSMUSG00000024856	Cdk2ap2	2.51e-05	0.000122	0.097	chr19	[4097508 4097734]	[4097817]	True	CDS	
15789	ENSMUSG00000021134	Srsf5	2.82e-05	0.000132	0.076	chr12	[80947866 80948663]	[80949095]	False	CDS	
20541	ENSMUSG00000027940	Tpm3	7.22e-05	0.000299	0.073	chr3	[90088477 90089124]	[90089797]	True	CDS	
20160	ENSMUSG00000017760	Ctsa	0.000121	0.000474	0.086	chr2	[164833197 164833851]	[164834030]	True	5' UTR	
8081	ENSMUSG00000028530	Jak1	0.000137	0.000529	0.075	chr4	[101193864]	[101265042 101305010]	False	5' UTR	
13654	ENSMUSG00000090394	4930523C07Rik	0.000188	0.000715	0.125	chr1	[160044754 160070804]	[160075031]	False	5' UTR	
13047	ENSMUSG00000025283	Sat1	0.000375	0.00138	0.128	chrX	[155214135]	[155215121 155215601]	True	CDS	
23435	ENSMUSG00000040940	Arhgef1	0.000532	0.00192	0.23	chr7	[24918001 24918532]	[24919184]	True	CDS	
15941	ENSMUSG00000017843	Ppp2r5c	0.000759	0.0027	0.07	chr12	[110466021 110485953]	[110522491]	True	CDS	
7009	ENSMUSG00000027620	Rbm39	0.000845	0.00296	0.129	chr2	[156177386]	[156177633 156178880 156179177]	True	CDS	
3972	ENSMUSG00000022378	Fam49b	0.000926	0.00319	0.138	chr15	[63970969]	[63997898 64022570]	True	5' UTR	
15788	ENSMUSG00000021134	Srsf5	0.00101	0.00335	0.121	chr12	[80945669 80945673 80945799]	[80946576]	True	5' UTR	
17507	ENSMUSG00000022841	Ap2m1	0.00103	0.00335	0.192	chr16	[20540416 20540814]	[20540975]	True	CDS	
18844	ENSMUSG00000024845	Tmem134	0.00136	0.00428	0.227	chr19	[4127640 4127837 4131076]	[4131229]	True	CDS	
13400	ENSMUSG00000026222	Sp100	0.00138	0.00428	0.199	chr1	[85679110 85681140]	[85691975]	True	CDS	
17591	ENSMUSG00000060636	Rpl35a	0.00219	0.00653	0.051	chr16	[33056511 33056556]	[33057136]	True	5' UTR	
17702	ENSMUSG00000055447	Cd47	0.0025	0.00728	0.083	chr16	[49868113 49869081]	[49884165]	True	CDS	
15960	ENSMUSG00000021282	Eif5	0.0026	0.00736	0.054	chr12	[111539688 111539883]	[111540130]	True	CDS	
18722	ENSMUSG00000024576	Csnk1a1	0.00272	0.00763	0.061	chr18	[61569563 61571958]	[61575410]	True	CDS	
4030	ENSMUSG00000002524	Puf60	0.00385	0.0103	0.146	chr15	[76072569]	[76074607 76075542]	True	CDS	
20797	ENSMUSG00000078578	Ube2d3	0.00387	0.0103	0.119	chr3	[135438353 135438433 135438699 135438865]	[135439644]	True	5' UTR	
9896	ENSMUSG00000030067	Foxp1	0.00407	0.0107	0.214	chr6	[99076046]	[99096144 99162839]	True	CDS	
18845	ENSMUSG00000024845	Tmem134	0.0042	0.0109	0.144	chr19	[4127122 4127133]	[4127550]	True	CDS	
5041	ENSMUSG00000061613	U2af1	0.00546	0.0137	0.077	chr17	[31648895]	[31651646 31652502]	True	CDS	
15405	ENSMUSG00000057322	Rpl38	0.00736	0.0181	0.065	chr11	[114668610 114668627 114668686]	[114668781]	True	5' UTR	
21694	ENSMUSG00000029064	Gnb1	0.011	0.0259	0.122	chr4	[155491581 155515680]	[155527413]	True	5' UTR	
12639	ENSMUSG00000032436	Cmtm7	0.013	0.03	0.051	chr9	[114758887]	[114761907 114763219]	True	CDS	
20658	ENSMUSG00000068823	Csde1	0.0146	0.0327	0.138	chr3	[103040043 103040534]	[103041145]	True	CDS	
19008	ENSMUSG00000034445	Cyb561a3	0.0177	0.0387	0.161	chr19	[10578084 10579075]	[10580463]	True	5' UTR	
1724	ENSMUSG00000018340	Anxa6	0.0184	0.0397	0.122	chr11	[54986216]	[54987051 54991391]	True	CDS	
9027	ENSMUSG00000000568	Hnrnpd	0.0205	0.0434	0.137	chr5	[99962613]	[99963731 99963984]	True	CDS	
