cluster	gene_id	gene_name	p_value	p_value_adj	max_abs_delta_psi	chromosome	start	end	Annotated	Region	diff_exp_rank
18426	ENSMUSG00000039770	Ypel5	2.24e-16	1.26e-14	0.158	chr17	[72836792 72837709 72837820]	[72846279]	True	5' UTR	
2814	ENSMUSG00000057963	Itpk1	2.67e-16	1.48e-14	0.162	chr12	[102579173]	[102580281 102584287]	False	CDS	
12521	ENSMUSG00000032570	Atp2c1	3.63e-16	1.99e-14	0.192	chr9	[105470148]	[105494415 105494893 105521040]	True	CDS	
20680	ENSMUSG00000027901	Dennd2d	1.32e-15	7.13e-14	0.188	chr3	[106482714 106486321]	[106486873]	True	CDS	
15193	ENSMUSG00000047040	Prr15l	1.6e-15	8.51e-14	0.135	chr11	[96929510 96931554]	[96934515]	True	5' UTR	
20136	ENSMUSG00000017950	Hnf4a	2.37e-15	1.23e-13	0.187	chr2	[163506988 163547420]	[163551577]	True	CDS	
18068	ENSMUSG00000024036	Slc37a1	6.41e-15	3.28e-13	0.085	chr17	[31295914 31296916]	[31300290]	False	5' UTR	
17539	ENSMUSG00000022884	Eif4a2	6.98e-15	3.53e-13	0.102	chr16	[23111897 23112458 23112462]	[23113167]	False	CDS	
9537	ENSMUSG00000062995	Ica1	1.42e-14	7.1e-13	0.192	chr6	[8758459]	[8778072 8778373]	True	5' UTR	
10369	ENSMUSG00000074272	Ceacam1	1.79e-14	8.84e-13	0.08	chr7	[25472074]	[25473798 25474520 25476344]	True	CDS	
7593	ENSMUSG00000040774	Cept1	3.06e-14	1.49e-12	0.14	chr3	[106505853]	[106512803 106520009 106531137]	True	CDS	
12867	ENSMUSG00000002010	Idh3g	3.45e-14	1.66e-12	0.087	chrX	[73782104]	[73782298 73782675]	True	CDS	
3970	ENSMUSG00000022378	Fam49b	3.6e-14	1.72e-12	0.198	chr15	[63950128]	[63956600 63957585 63970930]	False	CDS	
9256	ENSMUSG00000029394	Cdk2ap1	4.75e-14	2.24e-12	0.062	chr5	[124350173]	[124352200 124354317]	True	CDS	
1493	ENSMUSG00000049680	Urgcp	5.47e-14	2.55e-12	0.395	chr11	[5726858]	[5741097 5761881]	True	CDS	
20464	ENSMUSG00000019710	Mrpl24	6.71e-14	3.06e-12	0.125	chr3	[87919652 87919706 87919829]	[87921817]	True	5' UTR	
11111	ENSMUSG00000030986	Dhx32	7.63e-14	3.44e-12	0.178	chr7	[133759914]	[133776602 133782668]	True	5' UTR	
24430	ENSMUSG00000031570	Plpp5	7.98e-14	3.56e-12	0.099	chr8	[25716684 25720152]	[25720267]	False	5' UTR	
17591	ENSMUSG00000060636	Rpl35a	8.9e-14	3.92e-12	0.052	chr16	[33056511 33056556 33056618]	[33057136]	True	5' UTR	
25461	ENSMUSG00000034252	Senp6	1e-13	4.36e-12	0.204	chr9	[80093642 80098907]	[80103694]	True	CDS	
16841	ENSMUSG00000033060	Lmo7	1.5e-13	6.47e-12	0.144	chr14	[101840979 101869551]	[101875452]	True	CDS	
15194	ENSMUSG00000047040	Prr15l	3.3e-13	1.35e-11	0.1	chr11	[96929510 96931554]	[96934518]	True	5' UTR	
25559	ENSMUSG00000023345	Poc1a	5.12e-13	2.06e-11	0.236	chr9	[106281457 106282358]	[106282852]	False	CDS	
3327	ENSMUSG00000021710	Nln	5.55e-13	2.21e-11	0.262	chr13	[104035724]	[104036454 104036854]	True	CDS	
2857	ENSMUSG00000021266	Wars	6.41e-13	2.53e-11	0.074	chr12	[108888549]	[108893160 108894069]	True	5' UTR	
22882	ENSMUSG00000056737	Capg	7.51e-13	2.93e-11	0.199	chr6	[72544467 72549502]	[72555273]	True	5' UTR	
20008	ENSMUSG00000027424	Mgme1	1.4e-12	5.32e-11	0.319	chr2	[144270948 144271015 144271073]	[144271915]	False	5' UTR	
1538	ENSMUSG00000020173	Cobl	1.49e-12	5.59e-11	0.295	chr11	[12386767]	[12412031 12464682]	True	CDS	
8585	ENSMUSG00000028943	Espn	1.99e-12	7.41e-11	0.194	chr4	[152128554]	[152128770 152129612 152130769]	True	CDS	
9722	ENSMUSG00000029780	Nt5c3	2.87e-12	1.06e-10	0.206	chr6	[56897830]	[56901838 56923672]	True	CDS	
4621	ENSMUSG00000053182	Gm609	2.91e-12	1.06e-10	0.279	chr16	[45444166]	[45454846 45492854]	True	CDS	
5041	ENSMUSG00000061613	U2af1	2.98e-12	1.08e-10	0.052	chr17	[31648895]	[31651646 31652502]	True	CDS	
24432	ENSMUSG00000031570	Plpp5	3.12e-12	1.12e-10	0.132	chr8	[25722601 25723114]	[25724080]	True	CDS	
5887	ENSMUSG00000024969	Mark2	3.18e-12	1.13e-10	0.202	chr19	[7290783]	[7295038 7341168 7341767]	True	CDS	
1612	ENSMUSG00000042032	Mat2b	3.23e-12	1.14e-10	0.12	chr11	[40687796]	[40692478 40694803]	True	CDS	
9037	ENSMUSG00000035325	Sec31a	3.36e-12	1.18e-10	0.146	chr5	[100408114]	[100415914 100416103]	False	5' UTR	
10145	ENSMUSG00000030265	Kras	5.51e-12	1.9e-10	0.149	chr6	[145220725]	[145225074 145232095]	True	CDS	
2419	ENSMUSG00000034120	Srsf2	5.52e-12	1.9e-10	0.064	chr11	[116850962]	[116851052 116851648 116852021]	True	3' UTR	
2752	ENSMUSG00000021236	Entpd5	6.74e-12	2.28e-10	0.17	chr12	[84399413]	[84400747 84400830 84405406]	False	CDS	
13472	ENSMUSG00000026280	Atg4b	6.98e-12	2.35e-10	0.133	chr1	[93755055 93755457]	[93768053]	True	CDS	
1203	ENSMUSG00000034917	Tjp3	8.5e-12	2.81e-10	0.098	chr10	[81283740]	[81285601 81291048 81291464]	True	5' UTR	
21423	ENSMUSG00000028788	Ptp4a2	1.45e-11	4.73e-10	0.117	chr4	[129820602 129820800]	[129838978]	True	5' UTR	
1998	ENSMUSG00000001123	Lgals9	1.49e-11	4.76e-10	0.155	chr11	[78968034]	[78969714 78971317]	True	CDS	
3590	ENSMUSG00000060373	Hnrnpc	2.26e-11	7.2e-10	0.072	chr14	[52081308]	[52081789 52081828]	True	CDS	
22796	ENSMUSG00000038388	Mpp6	3.47e-11	1.08e-09	0.081	chr6	[50110465 50143785 50144719 50144854]	[50145774]	True	5' UTR	
12475	ENSMUSG00000043587	Pxylp1	3.49e-11	1.08e-09	0.234	chr9	[96856500]	[96883535 96889359 96891078]	False	5' UTR	
23909	ENSMUSG00000035165	Kcne3	4.18e-11	1.29e-09	0.086	chr7	[100178767 100181275 100182824 100183075]	[100184138]	True	5' UTR	
21742	ENSMUSG00000040407	Akap9	5.3e-11	1.62e-09	0.324	chr5	[4014080 4024167]	[4028374]	True	CDS	
156	ENSMUSG00000043629	1700019D03Rik	6.81e-11	2.05e-09	0.265	chr1	[52925735]	[52952615 52953197]	True	5' UTR	
9035	ENSMUSG00000035325	Sec31a	8.42e-11	2.52e-09	0.121	chr5	[100386204]	[100388534 100389068 100390759]	True	CDS	
17585	ENSMUSG00000022791	Tnk2	9.31e-11	2.75e-09	0.359	chr16	[32671634 32673236 32673281]	[32675522]	True	CDS	
24095	ENSMUSG00000042675	Ypel3	1.13e-10	3.3e-09	0.058	chr7	[126777104 126777618]	[126777771]	True	5' UTR	
20447	ENSMUSG00000028082	Sh3d19	1.78e-10	5.13e-09	0.126	chr3	[85971425 86011845]	[86040826]	False	CDS	
1339	ENSMUSG00000034024	Cct2	2.68e-10	7.49e-09	0.061	chr10	[117063051]	[117063160 117063706]	True	CDS	
7596	ENSMUSG00000040774	Cept1	3.14e-10	8.7e-09	0.075	chr3	[106539604]	[106547376 106547423 106547680]	True	5' UTR	
22371	ENSMUSG00000049327	Kmt5a	3.17e-10	8.72e-09	0.063	chr5	[124440016 124445729 124446085 124446910]	[124447214]	True	CDS	
1322	ENSMUSG00000020130	Tbc1d15	3.25e-10	8.84e-09	0.057	chr10	[115221686]	[115222606 115229125]	False	CDS	
14240	ENSMUSG00000035011	Zbtb7a	3.63e-10	9.79e-09	0.086	chr10	[81135523 81135592 81136660 81136700 81138071]	[81143962]	True	5' UTR	
659	ENSMUSG00000026670	Uap1	3.96e-10	1.06e-08	0.052	chr1	[170143464]	[170147996 170149271]	True	CDS	
21309	ENSMUSG00000006390	Elovl1	4.71e-10	1.25e-08	0.06	chr4	[118430556 118430906]	[118431063]	True	CDS	
19066	ENSMUSG00000024921	Smarca2	7.13e-10	1.87e-08	0.253	chr19	[26720948 26749948]	[26751824]	True	CDS	
16486	ENSMUSG00000039197	Adk	8.14e-10	2.11e-08	0.111	chr14	[21052701 21076322]	[21092367]	True	CDS	
18069	ENSMUSG00000024036	Slc37a1	8.19e-10	2.11e-08	0.132	chr17	[31319191 31320113]	[31321048]	False	CDS	
1773	ENSMUSG00000000301	Pemt	9.36e-10	2.4e-08	0.249	chr11	[59983559]	[60021111 60031713 60046340]	True	CDS	
4876	ENSMUSG00000023911	Flywch2	1.07e-09	2.72e-08	0.186	chr17	[23780057]	[23786001 23786177]	False	5' UTR	
21830	ENSMUSG00000029162	Khk	1.41e-09	3.56e-08	0.179	chr5	[30924856 30926823 30927157]	[30928443]	True	CDS	
21649	ENSMUSG00000028967	Errfi1	1.64e-09	4.11e-08	0.139	chr4	[150854106 150855272 150863550]	[150865075]	True	5' UTR	
5039	ENSMUSG00000024039	Cbs	1.83e-09	4.56e-08	0.131	chr17	[31613294]	[31614529 31615474]	True	CDS	
10285	ENSMUSG00000030403	Vasp	2.09e-09	5.17e-08	0.135	chr7	[19264826]	[19266368 19271514]	True	CDS	
25811	ENSMUSG00000001924	Uba1	3.17e-09	7.72e-08	0.117	chrX	[20658527 20663126]	[20668449]	True	5' UTR	
855	ENSMUSG00000019820	Utrn	3.29e-09	7.92e-08	0.201	chr10	[12538214]	[12547947 12621191]	True	CDS	
4872	ENSMUSG00000023905	Tnfrsf12a	3.61e-09	8.67e-08	0.082	chr17	[23676274]	[23676519 23677327]	True	CDS	
15609	ENSMUSG00000071379	Hpcal1	3.82e-09	9.11e-08	0.113	chr12	[17691047 17767300]	[17786147]	True	5' UTR	
15941	ENSMUSG00000017843	Ppp2r5c	4.36e-09	1.03e-07	0.06	chr12	[110466021 110485953]	[110522491]	True	CDS	
19707	ENSMUSG00000059005	Hnrnpa3	5.28e-09	1.24e-07	0.068	chr2	[75659324 75659390]	[75661466]	True	CDS	
15917	ENSMUSG00000021111	Papola	5.92e-09	1.39e-07	0.077	chr12	[105829278 105833163]	[105834710]	True	CDS	
25563	ENSMUSG00000048758	Rpl29	6.29e-09	1.46e-07	0.052	chr9	[106429577 106429640 106429814]	[106429970]	True	5' UTR	
7821	ENSMUSG00000028207	Asph	6.7e-09	1.54e-07	0.135	chr4	[9598302]	[9598733 9601307]	True	CDS	
8537	ENSMUSG00000055401	Fbxo6	8.89e-09	2.03e-07	0.175	chr4	[148149667]	[148151614 148151830 148151942 148152013]	True	5' UTR	
4721	ENSMUSG00000022892	App	1.15e-08	2.61e-07	0.066	chr16	[85030366]	[85040251 85043576 85056324]	True	CDS	
15027	ENSMUSG00000000631	Myo18a	1.18e-08	2.66e-07	0.219	chr11	[77763380 77765717]	[77777235]	True	5' UTR	
9030	ENSMUSG00000029328	Hnrnpdl	1.23e-08	2.75e-07	0.058	chr5	[100036196]	[100036481 100036862]	False	CDS	
17930	ENSMUSG00000034681	Rnps1	1.49e-08	3.31e-07	0.111	chr17	[24414735 24415163 24418219]	[24418457]	True	CDS	
11366	ENSMUSG00000031516	Dctn6	3.15e-08	6.79e-07	0.073	chr8	[34106407]	[34107575 34108419]	True	CDS	
23149	ENSMUSG00000067714	Lpar5	3.6e-08	7.62e-07	0.298	chr6	[125067977 125068368 125071399]	[125081137]	False	5' UTR	
3290	ENSMUSG00000052485	Tmem171	3.76e-08	7.9e-07	0.078	chr13	[98692718]	[98694347 98694806]	True	5' UTR	
7457	ENSMUSG00000027938	Creb3l4	4.01e-08	8.35e-07	0.067	chr3	[90242446]	[90242722 90242737]	False	CDS	
9625	ENSMUSG00000029922	Mkrn1	4.01e-08	8.35e-07	0.06	chr6	[39410217]	[39419840 39419889 39420099]	True	CDS	
3972	ENSMUSG00000022378	Fam49b	4.48e-08	9.28e-07	0.163	chr15	[63970969]	[63997898 64022570]	True	5' UTR	
3231	ENSMUSG00000021585	Cast	4.75e-08	9.79e-07	0.169	chr13	[74798719]	[74807819 74808436]	True	CDS	
14438	ENSMUSG00000040054	Baz2a	5.11e-08	1.05e-06	0.223	chr10	[128096524 128097061]	[128108894]	False	CDS	
3112	ENSMUSG00000034928	Rnf44	5.22e-08	1.06e-06	0.249	chr13	[54684489]	[54687494 54688031 54693729]	True	5' UTR	
6829	ENSMUSG00000027366	Sppl2a	7.5e-08	1.5e-06	0.113	chr2	[126912746]	[126913300 126913532]	True	CDS	
2340	ENSMUSG00000041654	Slc39a11	8.2e-08	1.62e-06	0.062	chr11	[113369899]	[113463951 113463972]	True	CDS	
2696	ENSMUSG00000059436	Max	9.19e-08	1.8e-06	0.063	chr12	[76938756]	[76939414 76939430 76939967]	True	CDS	
19686	ENSMUSG00000027111	Itga6	1.05e-07	2.05e-06	0.163	chr2	[71849507 71853664]	[71855854]	True	CDS	
20097	ENSMUSG00000027624	Epb41l1	1.05e-07	2.05e-06	0.18	chr2	[156421300 156433095]	[156438585]	False	5' UTR	
24283	ENSMUSG00000048200	Cracr2b	1.34e-07	2.59e-06	0.185	chr7	[141461190 141461934]	[141463384]	True	5' UTR	
13424	ENSMUSG00000070738	Dgkd	1.56e-07	2.97e-06	0.218	chr1	[87881940 87909376]	[87915100]	False	CDS	
1844	ENSMUSG00000018736	Ndel1	1.56e-07	2.97e-06	0.062	chr11	[68845425]	[68852942 68859923]	True	5' UTR	
14059	ENSMUSG00000020088	Sar1a	1.7e-07	3.2e-06	0.072	chr10	[61680414 61680898 61682149 61684188 61684332]	[61684880]	True	5' UTR	
7921	ENSMUSG00000051517	Arhgef39	1.88e-07	3.5e-06	0.244	chr4	[43499338]	[43499470 43504340]	False	CDS	
18884	ENSMUSG00000024911	Fibp	2.11e-07	3.92e-06	0.093	chr19	[5463305 5463326]	[5463604]	True	CDS	
12459	ENSMUSG00000049493	Pls1	2.15e-07	3.97e-06	0.057	chr9	[95795867]	[95815246 95845171]	True	5' UTR	
7029	ENSMUSG00000027639	Samhd1	2.67e-07	4.89e-06	0.235	chr2	[157099504]	[157101321 157101721]	True	CDS	
18644	ENSMUSG00000046727	Cystm1	3.14e-07	5.7e-06	0.132	chr18	[36366742 36391139]	[36393196]	False	CDS	
6562	ENSMUSG00000026970	Rbms1	3.32e-07	6e-06	0.236	chr2	[60842473]	[60881118 60962691]	True	CDS	
9701	ENSMUSG00000000938	Hoxa10	4.59e-07	8.14e-06	0.152	chr6	[52232781]	[52233959 52240278 52240450]	True	CDS	
15460	ENSMUSG00000020778	Ten1	4.98e-07	8.8e-06	0.091	chr11	[116204980 116205769 116205774 116211047]	[116214839]	True	CDS	
2391	ENSMUSG00000020777	Acox1	5.26e-07	9.22e-06	0.193	chr11	[116182021]	[116183464 116189415]	True	CDS	
11139	ENSMUSG00000025466	Fuom	5.78e-07	1e-05	0.06	chr7	[140101670]	[140101795 140102010 140102081 140102307]	True	CDS	
809	ENSMUSG00000026628	Atf3	6.07e-07	1.05e-05	0.117	chr1	[191177341]	[191177432 191177447 191183093]	False	CDS	
6001	ENSMUSG00000040451	Sgms1	6.2e-07	1.06e-05	0.217	chr19	[32289632]	[32323037 32351945]	True	5' UTR	
8872	ENSMUSG00000029086	Prom1	6.48e-07	1.11e-05	0.1	chr5	[43995115]	[44000777 44001270 44001786]	True	CDS	
17342	ENSMUSG00000056851	Pcbp2	8.23e-07	1.38e-05	0.06	chr15	[102488278 102488815]	[102489752]	True	CDS	
5346	ENSMUSG00000024096	Ralbp1	8.58e-07	1.43e-05	0.095	chr17	[65867831]	[65884222 65884678 65885186]	True	5' UTR	
16655	ENSMUSG00000040997	Abhd4	9.85e-07	1.62e-05	0.137	chr14	[54254472 54259320]	[54261626]	True	5' UTR	
10153	ENSMUSG00000040234	Tm7sf3	9.96e-07	1.63e-05	0.092	chr6	[146607677]	[146609816 146610874]	False	CDS	
20449	ENSMUSG00000028082	Sh3d19	1.23e-06	1.99e-05	0.159	chr3	[86075189 86078985]	[86080395]	True	CDS	
18725	ENSMUSG00000024576	Csnk1a1	1.52e-06	2.41e-05	0.098	chr18	[61580452 61580488]	[61587426]	True	CDS	
25930	ENSMUSG00000009995	Taz	1.58e-06	2.49e-05	0.127	chrX	[74288514 74288715 74289020]	[74289105]	True	CDS	
18209	ENSMUSG00000091705	H2-Q2	1.95e-06	3.01e-05	0.055	chr17	[35343389 35343615]	[35344755]	False	CDS	
10738	ENSMUSG00000039405	Prss23	2.07e-06	3.18e-05	0.187	chr7	[89510871]	[89517447 89518024 89518107]	True	5' UTR	
1818	ENSMUSG00000018501	Ncor1	2.1e-06	3.21e-05	0.053	chr11	[62438516]	[62446798 62457148 62457436 62458455]	True	5' UTR	
21330	ENSMUSG00000000085	Scmh1	2.15e-06	3.28e-05	0.164	chr4	[120517078 120517707]	[120522455]	True	CDS	
1321	ENSMUSG00000020130	Tbc1d15	2.17e-06	3.29e-05	0.084	chr10	[115220409]	[115220688 115221583]	False	CDS	
10777	ENSMUSG00000035547	Capn5	2.27e-06	3.44e-05	0.311	chr7	[98162111]	[98162276 98178044]	True	CDS	
18960	ENSMUSG00000036278	Macrod1	2.4e-06	3.6e-05	0.111	chr19	[7197614 7197737]	[7197913]	False	CDS	
23521	ENSMUSG00000030588	Yif1b	2.46e-06	3.66e-05	0.104	chr7	[29238437 29238446 29238564 29238612]	[29244070]	True	CDS	
1849	ENSMUSG00000032892	Rangrf	2.5e-06	3.71e-05	0.068	chr11	[68973558]	[68973642 68975068 68976949]	True	CDS	
20155	ENSMUSG00000017299	Dnttip1	2.54e-06	3.74e-05	0.055	chr2	[164758058 164763282]	[164765161]	False	CDS	
21735	ENSMUSG00000106658	Gm36548	2.56e-06	3.76e-05	0.143	chr5	[3270516 3274118]	[3297458]	False	Non-coding	
17546	ENSMUSG00000033306	Lpp	2.76e-06	4.05e-05	0.192	chr16	[24393605 24393784]	[24442781]	True	5' UTR	
14542	ENSMUSG00000020456	Ogdh	2.78e-06	4.06e-05	0.109	chr11	[6316856 6317081]	[6334533]	True	CDS	
4620	ENSMUSG00000053182	Gm609	2.85e-06	4.15e-05	0.186	chr16	[45442747]	[45443827 45492854]	True	CDS	
11385	ENSMUSG00000045636	Mtus1	3.07e-06	4.41e-05	0.156	chr8	[41084841]	[41133481 41133661 41133904]	False	5' UTR	
513	ENSMUSG00000041926	Rnpep	3.08e-06	4.41e-05	0.057	chr1	[135271765]	[135272362 135277389]	True	CDS	
12473	ENSMUSG00000040433	Zbtb38	3.17e-06	4.51e-05	0.139	chr9	[96689030]	[96718210 96751302]	False	5' UTR	
22739	ENSMUSG00000029911	Ssbp1	3.25e-06	4.61e-05	0.093	chr6	[40471460 40471826]	[40472071]	True	5' UTR	
392	ENSMUSG00000034088	Hdlbp	3.38e-06	4.78e-05	0.122	chr1	[93442251]	[93445580 93478207 93478713]	True	5' UTR	
8207	ENSMUSG00000028538	St3gal3	3.63e-06	5.11e-05	0.131	chr4	[118107694]	[118117566 118134390 118134404 118134734]	False	5' UTR	
920	ENSMUSG00000039697	Ncoa7	3.66e-06	5.12e-05	0.131	chr10	[30647652]	[30647967 30648445]	True	CDS	
18450	ENSMUSG00000024082	Ndufaf7	4.42e-06	6.11e-05	0.07	chr17	[78943945 78945085]	[78946296]	True	CDS	
9140	ENSMUSG00000042216	Sgsm1	4.47e-06	6.15e-05	0.384	chr5	[113276173]	[113277509 113279133]	True	CDS	
13875	ENSMUSG00000026639	Lamb3	4.5e-06	6.16e-05	0.188	chr1	[193302031 193302142]	[193303488]	False	5' UTR	
3047	ENSMUSG00000021432	Slc35b3	5.12e-06	6.95e-05	0.105	chr13	[38955937]	[38960163 38960410 38960432 38960613]	True	CDS	
6158	ENSMUSG00000025085	Ablim1	5.22e-06	7.06e-05	0.153	chr19	[57083604]	[57118752 57132862]	True	CDS	
5462	ENSMUSG00000041225	Arhgap12	5.99e-06	8.03e-05	0.193	chr18	[6052924]	[6056979 6057517 6061847]	True	CDS	
15558	ENSMUSG00000039230	Tbcd	6.69e-06	8.91e-05	0.149	chr11	[121503788 121518342]	[121540852]	True	CDS	
